변수,계수(β),IRR,CI_95%_lower,CI_95%_upper,p값,유의성
const,-3.9088,0.0201,,,0.0,
SDI,0.8381,2.312,0.9822,5.4422,0.055,
formal_inst,-1.7006,0.1826,0.1248,0.2671,0.0,***
edu_impl,1.5047,4.5027,2.7689,7.3222,0.0,***
log_safecost,-0.1887,0.828,0.7893,0.8686,0.0,***
ratio_aged,0.4306,1.5382,1.0781,2.1947,0.0176,*
ratio_foreign,-0.6684,0.5125,0.3189,0.8238,0.0058,**
ratio_female,2.8516,17.3163,4.808,62.3656,0.0,***
Q14d_2.0,0.9534,2.5945,1.7848,3.7715,0.0,***
Q14d_3.0,0.3411,1.4066,0.9937,1.991,0.0543,
Q22d_2,-0.7106,0.4913,0.3422,0.7055,0.0001,***
Q22d_3,-1.0543,0.3484,0.1764,0.6882,0.0024,**
Q22d_4,0.0232,1.0235,0.2961,3.5376,0.9708,
SQ2d_2,0.9193,2.5076,1.9878,3.1633,0.0,***
SQ2d_3,0.5272,1.6942,1.2118,2.3687,0.002,**
SQ2d_4,0.6977,2.009,1.4186,2.8452,0.0001,***
Q2d_3,-0.1878,0.8288,0.6451,1.0646,0.1416,
Q2d_5,-0.0969,0.9077,0.6943,1.1866,0.4786,
Q2d_10,0.3042,1.3556,0.9396,1.9558,0.1038,
Q2d_99,0.6548,1.9248,1.5504,2.3896,0.0,***
