변수,계수(β),IRR,CI_95%_lower,CI_95%_upper,p값,유의성
const,-6.8932,0.001,,,0.0,
SDI,-1.8174,0.1625,0.0935,0.2823,0.0,***
formal_inst,0.0843,1.088,0.8332,1.4208,0.5356,
edu_impl,0.5816,1.7888,1.2145,2.6347,0.0032,**
workenv_meas,0.0738,1.0766,0.9405,1.2323,0.2844,
health_chk,0.4817,1.6188,1.1155,2.3494,0.0112,*
ratio_aged,0.5091,1.6638,1.3273,2.0858,0.0,***
ratio_foreign,1.3166,3.7308,2.3043,6.0404,0.0,***
ratio_female,-0.5942,0.552,0.4318,0.7056,0.0,***
ratio_night,-0.0851,0.9185,0.7348,1.148,0.4548,
Q15d_2.0,0.4174,1.518,1.272,1.8116,0.0,***
Q15d_3.0,0.6302,1.8781,1.6075,2.1942,0.0,***
SQ4d_2,0.4646,1.5913,1.3898,1.822,0.0,***
Q2dms_2,0.02,1.0202,0.8992,1.1574,0.7567,
