row_id,F_score,S_score,SDI,WT2
0,1.0,0.775,-0.22499999999999998,0.920495927
1,0.625,0.5125,-0.11250000000000004,0.960863917
2,0.75,0.4375,-0.3125,1.020530357
3,0.9583333333333334,0.9375,-0.02083333333333337,1.020530357
4,1.0,1.0,0.0,1.071922248
5,0.875,0.7625,-0.11250000000000004,0.417780933
6,0.9583333333333334,0.6,-0.3583333333333334,1.071922248
7,1.0,1.0,0.0,0.676898202
8,0.8333333333333334,0.8375,0.004166666666666652,0.676898202
9,0.9583333333333334,0.925,-0.033333333333333326,1.523108998
10,0.8333333333333334,0.525,-0.30833333333333335,0.914757209
11,0.75,0.7375,-0.012499999999999956,0.960863917
12,1.0,0.975,-0.025000000000000022,1.523108998
13,0.9583333333333334,0.9375,-0.02083333333333337,0.764199323
14,0.9166666666666666,0.8875,-0.029166666666666674,0.798494233
15,0.75,0.5875,-0.16249999999999998,1.015607279
16,0.7083333333333334,0.5625,-0.14583333333333337,0.914757209
17,1.0,0.9875,-0.012499999999999956,1.015607279
18,1.0,1.0,0.0,1.166552835
19,0.625,0.4875,-0.1375,1.015607279
20,0.9166666666666666,0.7875,-0.12916666666666665,1.071922248
21,0.75,0.9625,0.21250000000000002,0.306045901
22,0.75,0.5625,-0.1875,1.071922248
23,0.9583333333333334,1.0,0.04166666666666663,0.953582081
24,0.9166666666666666,0.725,-0.19166666666666665,0.715034054
25,1.0,0.9625,-0.03749999999999998,1.505742553
26,0.8333333333333334,0.8625,0.029166666666666674,0.953582081
27,0.75,0.55,-0.19999999999999996,1.015607279
28,1.0,1.0,0.0,0.417780933
29,0.75,0.75,0.0,1.020530357
30,0.7916666666666666,0.75,-0.04166666666666663,1.020530357
31,0.5,0.5,0.0,0.914757209
32,0.7916666666666666,0.65,-0.1416666666666666,0.914757209
33,1.0,0.975,-0.025000000000000022,0.953582081
34,0.75,0.6625,-0.08750000000000002,0.953582081
35,0.8333333333333334,0.675,-0.15833333333333333,0.676898202
36,1.0,1.0,0.0,0.676898202
37,0.875,0.8625,-0.012499999999999956,0.960863917
38,1.0,1.0,0.0,0.914757209
39,0.625,0.5875,-0.03749999999999998,0.960863917
40,0.75,0.625,-0.125,1.523108998
41,0.75,0.75,0.0,0.960863917
42,1.0,1.0,0.0,0.953582081
43,0.75,0.7375,-0.012499999999999956,1.020530357
44,0.75,0.75,0.0,1.020530357
45,0.7083333333333334,0.6875,-0.02083333333333337,0.798494233
46,1.0,1.0,0.0,0.676898202
47,0.5,0.5,0.0,1.505742553
48,1.0,1.0,0.0,1.020530357
49,1.0,1.0,0.0,0.764199323
50,0.9583333333333334,0.9125,-0.04583333333333339,1.505742553
