,F1,F2
Q15_2_1,0.239630477611301,0.8053293122983282
Q15_2_2,0.21475122464334162,0.8044899858948066
Q15_2_3,0.2049591309151857,0.8336105831372266
Q15_2_4,0.23468098500743492,0.8343638601704498
Q15_2_5,0.2096503824395963,0.9004814729516866
Q15_2_6,0.2018753627462719,0.8925017562062144
Q15_2_7,0.19869183074475438,0.8856351515934185
Q16_1,0.751369409268373,0.148582812028009
Q16_2,0.789268569588499,0.1363037679269048
Q16_3,0.7741499380182263,0.12510847612104292
Q16_9,0.725915055137205,0.20468564448052443
Q16_10,0.7303283090080356,0.20292955202456778
Q16_16,0.7621853990446709,0.18634783818841072
Q16_17,0.6739092376522579,0.1407880955582173
Q16_18,0.7730849087867755,0.20939502147733258
Q17_1,0.7691475353155781,0.20433475239871243
Q17_2,0.7632422926773305,0.22235233908119062
Q17_4,0.7725506610510718,0.19639622183893282
Q21_2,0.46441295541221717,0.3428718574224814
