변수코드,분류,그룹,EFA_F1,EFA_F2,정규화_mean,정규화_std,n_유효
Q6,F,F-C1_전담부서,-,-,0.686,0.464,1479
Q8_1,F,F-C2_선임인원,-,-,0.038,0.043,1407
Q8_2,F,F-C2_선임인원,-,-,0.116,0.174,1413
Q8_3,F,F-C3_전담직원,-,-,0.037,0.047,1370
Q8_4,F,F-C3_전담직원,-,-,0.071,0.121,1402
Q9,F,F-C4_기술지도,-,-,0.374,0.484,1498
Q10,F,F-C5_위원회,-,-,0.572,0.309,1435
Q12_1,F,F-C6_KOSHA,-,-,0.242,0.429,1502
Q12_2,F,F-C7_ISO,-,-,0.259,0.438,1502
Q15_2_1,S,S-C2_스트레스관리,0.24,0.805,0.674,0.276,1502
Q15_2_2,S,S-C2_스트레스관리,0.215,0.804,0.716,0.239,1502
Q15_2_3,S,S-C2_스트레스관리,0.205,0.834,0.709,0.249,1502
Q15_2_4,S,S-C2_스트레스관리,0.235,0.834,0.68,0.265,1502
Q15_2_5,S,S-C2_스트레스관리,0.21,0.9,0.706,0.289,1502
Q15_2_6,S,S-C2_스트레스관리,0.202,0.893,0.707,0.301,1502
Q15_2_7,S,S-C2_스트레스관리,0.199,0.886,0.711,0.304,1502
Q16_1,S,S-C3_경영강조,0.751,0.149,0.893,0.178,1502
Q16_2,S,S-C3_경영강조,0.789,0.136,0.896,0.179,1502
Q16_3,S,S-C3_경영강조,0.774,0.125,0.904,0.168,1502
Q16_9,S,S-C4_교육효과,0.726,0.205,0.837,0.196,1502
Q16_10,S,S-C4_교육효과,0.73,0.203,0.827,0.188,1502
Q16_16,S,S-C5_행동준수,0.762,0.186,0.799,0.204,1502
Q16_17,S,S-C5_행동준수,0.674,0.141,0.839,0.19,1502
Q16_18,S,S-C5_행동준수,0.773,0.209,0.756,0.234,1502
Q17_1,S,S-C6_감독자역량,0.769,0.204,0.777,0.206,1502
Q17_2,S,S-C6_감독자역량,0.763,0.222,0.759,0.222,1502
Q17_4,S,S-C6_감독자역량,0.773,0.196,0.786,0.208,1502
Q21_2,S,S-C7_환경노력,0.464,0.343,0.802,0.227,976
