변수코드,분류,그룹,EFA_F1,EFA_F2,정규화_mean,정규화_std,n_유효
Q6,F,F-M1_전담부서,-,-,0.115,0.319,2874
Q8_1,F,F-M2_선임신고,-,-,0.009,0.02,2991
Q8_2,F,F-M2_선임신고,-,-,0.086,0.114,3005
Q9_1,F,F-M3_위탁기관,-,-,0.555,0.497,3107
Q9_2,F,F-M3_위탁기관,-,-,0.512,0.5,3103
Q10,F,F-M4_위원회,-,-,0.824,0.381,913
Q11,F,F-M5_담당자,-,-,0.846,0.361,2273
Q13_1,F,F-M6_KOSHA,-,-,0.072,0.258,3255
Q13_2,F,F-M7_ISO,-,-,0.25,0.433,3255
Q17_13,F,F-M8_시설보호구,0.68,0.139,0.834,0.176,3255
Q16_2_1,S,S-M1_스트레스관리,0.234,0.757,0.67,0.258,3255
Q16_2_2,S,S-M1_스트레스관리,0.22,0.814,0.726,0.232,3255
Q16_2_3,S,S-M1_스트레스관리,0.221,0.825,0.715,0.246,3255
Q16_2_4,S,S-M1_스트레스관리,0.163,0.847,0.736,0.249,3255
Q16_2_5,S,S-M1_스트레스관리,0.185,0.894,0.752,0.253,3255
Q16_2_6,S,S-M1_스트레스관리,0.167,0.898,0.75,0.259,3255
Q16_2_7,S,S-M1_스트레스관리,0.162,0.889,0.757,0.257,3255
Q17_1,S,S-M2_경영강조,0.701,0.195,0.884,0.166,3255
Q17_2,S,S-M2_경영강조,0.722,0.192,0.884,0.164,3255
Q17_3,S,S-M2_경영강조,0.695,0.167,0.889,0.162,3255
Q17_9,S,S-M3_교육효과,0.703,0.158,0.81,0.188,3255
Q17_10,S,S-M3_교육효과,0.737,0.183,0.805,0.195,3255
Q17_12,S,S-M4_규정효과,0.747,0.193,0.805,0.193,3255
Q17_15,S,S-M5_행동준수,0.748,0.176,0.816,0.186,3255
Q17_16,S,S-M5_행동준수,0.661,0.198,0.823,0.188,3255
Q17_17,S,S-M5_행동준수,0.76,0.19,0.785,0.199,3255
Q18_1,S,S-M6_감독자역량,0.764,0.187,0.808,0.175,3028
Q18_2,S,S-M6_감독자역량,0.744,0.165,0.791,0.188,3028
Q18_3,S,S-M6_감독자역량,0.774,0.164,0.804,0.185,3028
Q18_4,S,S-M6_감독자역량,0.799,0.187,0.803,0.187,3028
Q22_2,S,S-M7_환경노력,0.406,0.184,0.806,0.206,2331
